@RELATION POSIT

@attribute classification {Anti-extremist, Pro-extremist, neutral}
@attribute number_of_exclam numeric
@attribute number_of_dollar numeric
@attribute number_of_ast numeric
@attribute number_of_dot numeric
@attribute number_of_0 numeric
@attribute number_of_1 numeric
@attribute number_of_2 numeric
@attribute number_of_3 numeric
@attribute number_of_4 numeric
@attribute number_of_5 numeric
@attribute number_of_6 numeric
@attribute number_of_7 numeric
@attribute number_of_8 numeric
@attribute number_of_9 numeric
@attribute number_of_quest numeric
@attribute number_of_a numeric
@attribute number_of_b numeric
@attribute number_of_c numeric
@attribute number_of_d numeric
@attribute number_of_e numeric
@attribute number_of_f numeric
@attribute number_of_g numeric
@attribute number_of_h numeric
@attribute number_of_i numeric
@attribute number_of_j numeric
@attribute number_of_k numeric
@attribute number_of_l numeric
@attribute number_of_m numeric
@attribute number_of_n numeric
@attribute number_of_o numeric
@attribute number_of_p numeric
@attribute number_of_q numeric
@attribute number_of_r numeric
@attribute number_of_s numeric
@attribute number_of_t numeric
@attribute number_of_u numeric
@attribute number_of_v numeric
@attribute number_of_w numeric
@attribute number_of_x numeric
@attribute number_of_y numeric
@attribute number_of_z numeric
@attribute total_unique_chars numeric
@attribute total_chars numeric
@attribute specials numeric
@attribute total_words numeric
@attribute total_unique_words numeric
@attribute ttr numeric
@attribute number_of_sentences numeric
@attribute asl numeric
@attribute number_of_chars numeric
@attribute awl numeric
@attribute noun_types numeric
@attribute verb_types numeric
@attribute adjective_types numeric
@attribute preposition_types numeric
@attribute possessive_types numeric
@attribute personal_types numeric
@attribute determiner_types numeric
@attribute adverb_types numeric
@attribute particle_types numeric
@attribute interjection_types numeric
@attribute verbs numeric
@attribute nouns numeric
@attribute preposition numeric
@attribute possessive numeric
@attribute personal numeric
@attribute particles numeric
@attribute interjections numeric
@attribute determiners numeric
@attribute adverbs numeric
@attribute adjectives numeric

@data
neutral,0,0,0,11,28,2,20,16,7,9,9,9,9,4,1,297,78,152,118,464,98,127,138,317,13,53,198,126,257,368,127,4,245,309,346,118,55,70,8,65,7,5607,38,2,845,496,0.586982,12,70.4167,5606,6.63432,426,16,5,12,4,4,3,5,0,0,66,1346,84,26,26,0,0,24,24,10
neutral,0,0,134,174,168,2,96,28,36,64,29,60,24,27,13,1251,203,610,412,1557,372,400,540,1304,34,97,756,588,1138,1350,409,16,877,1076,1400,401,243,307,46,230,32,22622,39,3,2626,1324,0.504189,62,42.3548,22607,8.60891,444,44,18,14,10,10,6,11,0,0,142,1258,80,62,62,0,0,22,36,42
neutral,0,33,1,1,89,2,31,9,28,10,11,15,4,5,99,532,136,255,197,779,155,195,274,534,26,88,320,246,473,600,187,4,387,520,615,202,95,119,15,118,9,12191,40,4,1457,774,0.531229,32,45.5312,12184,8.36239,449,32,10,14,8,8,7,6,0,0,102,1366,102,38,38,0,0,50,34,20
neutral,0,0,0,14,1,30,17,22,7,9,9,9,9,6,1,337,85,161,131,527,112,146,162,353,14,61,220,149,284,413,147,4,277,346,396,137,63,83,9,84,9,6414,38,2,954,556,0.582809,12,79.5,6413,6.72222,468,22,5,15,7,7,7,7,0,0,76,1466,98,36,36,0,0,32,30,10
neutral,0,0,17,37,19,16,11,13,6,6,63,7,9,7,4,686,123,339,269,783,156,183,310,576,18,85,347,364,483,727,167,10,524,551,631,204,121,152,13,123,13,14502,39,3,1568,778,0.496173,29,54.069,14497,9.24554,445,37,5,16,7,7,4,8,1,0,116,1336,112,44,44,2,0,22,38,12
neutral,0,0,0,12,27,24,29,3,3,5,11,11,12,13,7,456,114,176,159,468,70,150,133,312,9,50,245,119,381,397,95,4,308,277,336,92,45,115,11,74,5,11967,38,2,839,448,0.533969,14,59.9286,11947,14.2396,315,64,29,18,6,6,5,6,1,0,162,1126,118,20,20,4,0,56,14,62
neutral,0,0,0,12,27,24,29,3,3,5,11,11,12,13,7,457,110,179,163,478,70,148,137,316,9,47,244,122,386,395,97,4,313,287,345,91,46,114,11,75,5,12022,38,2,845,450,0.532544,14,60.3571,12002,14.2036,317,65,29,18,6,6,5,6,1,0,166,1136,114,22,22,4,0,56,14,62
neutral,0,0,0,12,25,23,29,3,3,5,10,10,12,13,6,429,94,170,157,458,67,129,128,304,9,44,214,115,362,363,93,4,302,273,329,91,45,109,10,73,5,11696,38,2,801,448,0.559301,14,57.2143,11676,14.5768,317,64,29,18,6,6,5,6,1,0,162,1054,114,22,22,4,0,56,14,62
neutral,0,0,0,12,25,23,29,3,3,5,10,10,12,13,6,426,94,170,157,457,67,133,128,304,9,44,213,115,364,369,93,4,299,270,326,91,45,109,10,73,5,11697,38,2,802,448,0.558603,14,57.2857,11677,14.5599,315,64,29,18,6,6,5,6,1,0,162,1054,118,20,20,4,0,56,14,62
neutral,0,0,0,12,25,24,3,3,41,6,10,10,12,13,6,522,111,226,201,620,87,151,154,422,13,47,269,145,488,464,135,4,403,367,446,125,57,134,13,94,6,13298,38,2,1040,570,0.548077,26,40,13278,12.7673,292,83,56,19,8,8,5,14,1,0,232,942,154,44,44,4,0,70,36,124
neutral,0,0,0,12,33,28,3,4,5,48,10,10,13,17,6,573,131,234,256,688,114,164,168,443,12,47,295,154,542,527,125,10,444,397,514,132,67,134,11,96,5,14096,38,2,1153,558,0.483955,29,39.7586,14072,12.2047,267,70,42,20,6,6,6,10,1,0,232,942,158,16,16,2,0,94,36,94
neutral,0,0,0,12,27,24,29,3,3,5,11,11,12,13,7,453,111,174,159,467,68,149,133,314,9,48,243,119,380,392,95,4,310,276,342,92,45,116,11,74,5,11953,38,2,837,448,0.535245,14,59.7857,11933,14.2569,315,64,29,18,6,6,5,6,1,0,162,1122,118,20,20,4,0,56,14,62
neutral,0,0,39,1,11,65,57,11,12,17,57,14,23,27,13,647,128,221,266,661,109,163,181,422,17,56,282,154,539,545,156,4,469,377,476,143,57,148,17,98,7,14622,39,3,1241,579,0.466559,41,30.2683,14602,11.7663,245,57,22,21,7,7,6,6,2,0,200,928,154,28,28,4,0,56,26,66
neutral,0,166,1,327,20,106,3,317,82,96,35,92,26,34,19,1916,358,892,770,2339,477,581,903,1652,58,226,996,757,1638,1703,598,20,1270,1539,1936,603,244,493,38,373,36,30421,40,4,3905,1877,0.480666,111,35.1802,30414,7.78848,437,52,16,12,8,8,7,15,2,0,154,1242,90,50,50,4,0,40,44,38
neutral,0,166,1,327,20,106,3,317,82,96,35,92,26,34,19,1915,358,892,770,2340,477,582,905,1652,59,226,995,758,1639,1704,598,20,1269,1539,1934,603,244,493,38,373,36,30424,40,4,3905,1877,0.480666,111,35.1802,30417,7.78924,437,52,16,12,8,8,7,15,2,0,154,1242,90,50,50,4,0,40,44,38
neutral,0,165,1,328,2,21,106,317,83,100,37,90,25,33,18,1916,357,891,767,2341,476,582,904,1641,57,229,983,762,1639,1696,595,20,1263,1534,1922,600,245,491,37,369,35,30313,40,4,3884,1874,0.482492,111,34.991,30306,7.80278,431,53,18,12,7,7,7,16,2,0,156,1230,90,48,48,4,0,40,46,42
neutral,113,1,110,2,63,20,43,23,6,6,19,15,13,82,12,878,161,366,340,1159,206,221,402,703,18,84,462,280,616,804,255,17,688,758,858,248,92,201,41,152,8,14132,41,5,2071,970,0.468373,52,39.8269,14129,6.82231,436,26,8,11,5,5,4,4,0,0,68,1318,88,18,18,0,0,20,12,20
neutral,54,1,63,28,32,21,24,5,5,17,6,10,12,9,5,556,118,244,217,686,151,175,215,502,15,83,333,165,374,517,181,10,383,487,559,155,76,126,8,145,4,10048,41,5,1303,693,0.53185,17,76.6471,10048,7.71144,422,40,13,17,8,8,6,9,2,0,100,1258,108,36,36,6,0,22,20,30
neutral,121,1,113,112,80,3,18,4,54,21,6,18,15,28,12,997,186,375,379,1094,235,241,437,884,12,90,608,293,843,921,239,14,708,715,883,285,71,233,18,155,6,15408,41,5,2312,873,0.377595,68,34,15381,6.65268,433,26,8,11,4,4,4,6,0,0,66,1312,80,18,18,0,0,18,14,20
neutral,111,1,103,223,67,19,4,4,47,20,6,21,15,12,15,1716,139,444,236,1618,151,325,522,1336,10,319,781,1267,621,745,690,14,943,1854,1761,509,74,276,347,219,14,22998,41,5,2335,800,0.342612,27,86.4815,22983,9.84283,435,26,8,11,4,4,4,6,0,0,66,1314,78,18,18,0,0,18,14,20
neutral,120,1,130,130,48,24,4,34,26,6,23,7,21,20,11,1355,391,489,598,1739,392,430,580,1115,18,121,719,382,880,1176,360,17,1066,1111,1231,440,168,255,33,314,12,21588,41,5,3333,1136,0.340834,77,43.2857,21560,6.46865,413,28,14,13,5,5,4,7,0,0,70,1314,82,22,22,0,0,10,16,32
neutral,63,1,85,40,3,18,36,30,5,18,6,12,18,9,8,503,122,252,213,635,152,168,199,468,11,68,321,169,354,507,169,10,384,451,477,170,73,112,10,126,8,9246,41,5,1242,677,0.545089,19,65.3684,9246,7.44444,412,33,11,13,6,6,3,7,0,0,78,1312,84,24,24,0,0,8,18,26
neutral,56,1,64,29,16,33,4,27,17,6,6,10,14,9,7,534,117,238,211,678,149,171,213,494,16,90,330,165,360,500,176,10,374,483,547,154,75,115,8,140,5,9899,41,5,1276,686,0.537618,16,79.75,9899,7.75784,436,34,17,14,6,6,4,7,0,0,84,1292,96,26,26,0,0,20,20,38
neutral,109,113,2,52,3,30,4,35,19,55,6,21,21,14,11,865,174,432,340,1048,254,242,287,737,17,78,487,270,639,771,298,14,592,781,771,293,86,137,29,162,27,14544,41,5,1935,924,0.477519,33,58.6364,14539,7.5137,433,27,7,12,5,5,3,6,0,0,70,1308,88,22,22,0,0,6,14,24
neutral,68,1,12,70,33,15,4,22,31,6,17,12,72,5,7,890,184,367,380,1211,198,296,443,714,7,116,458,256,654,781,243,11,625,717,837,273,104,195,25,160,11,14591,41,5,2134,1010,0.47329,65,32.8308,14527,6.8074,442,29,10,14,4,4,3,7,0,0,76,1304,86,22,22,0,0,12,16,22
neutral,83,1,100,2,42,17,39,33,19,6,6,11,16,16,18,569,139,291,250,775,148,156,257,536,12,73,308,220,429,581,201,41,420,533,588,222,63,115,10,132,7,10124,41,5,1441,768,0.532963,24,60.0417,10105,7.01249,441,22,9,13,5,5,5,5,0,0,64,1300,82,18,18,0,0,22,12,20
neutral,103,101,16,2,46,21,37,5,16,6,21,64,19,16,9,721,183,334,287,884,174,193,256,603,10,91,385,219,491,644,259,16,503,629,637,247,91,130,25,166,5,12449,41,5,1680,788,0.469048,36,46.6667,12432,7.4,427,25,9,12,5,5,4,6,0,0,66,1288,88,26,26,0,0,12,14,22
neutral,115,99,2,2,79,22,4,40,26,17,18,15,9,90,17,1015,218,441,438,1304,256,326,601,893,41,123,529,342,775,961,276,28,694,830,909,312,120,233,46,187,7,16866,41,5,2507,1087,0.433586,59,42.4915,16861,6.72557,463,24,11,11,4,4,3,5,0,0,60,1328,84,18,18,0,0,8,12,24
neutral,58,1,72,27,15,35,4,4,24,17,6,10,13,9,8,535,118,237,212,664,143,173,215,485,16,81,323,162,359,509,170,11,378,469,541,154,72,118,7,145,6,9840,41,5,1269,680,0.535855,16,79.3125,9840,7.75414,431,36,14,15,5,5,4,7,0,0,92,1288,90,32,32,0,0,18,22,32
neutral,63,1,85,2,39,17,40,24,5,18,6,11,17,11,7,536,125,256,226,641,153,180,213,486,11,68,328,166,376,511,163,10,380,457,489,167,79,110,9,128,8,9419,41,5,1273,688,0.540456,20,63.65,9419,7.39906,415,26,10,15,4,4,3,8,0,0,66,1318,90,18,18,0,0,14,18,22
neutral,99,1,116,2,55,25,36,5,20,6,18,67,32,16,7,1107,213,504,408,1145,255,249,350,957,29,101,546,289,779,944,370,18,800,795,921,286,149,144,25,218,30,16757,41,5,2247,983,0.437472,40,56.175,16749,7.45394,432,24,7,13,5,5,3,6,0,0,70,1308,88,22,22,0,0,6,14,22
neutral,101,1,98,44,23,37,5,26,6,16,19,11,9,93,6,1080,214,447,407,1265,259,310,391,797,11,144,612,295,750,953,278,15,802,815,957,311,107,229,18,277,13,16973,41,5,2440,1063,0.435656,74,32.973,16973,6.95615,426,20,9,13,4,4,3,5,0,0,52,1332,88,18,18,0,0,6,12,22
neutral,105,1,103,48,22,39,28,6,6,19,7,21,76,11,9,943,189,409,368,1164,244,273,355,767,15,128,511,261,660,791,273,11,745,769,828,246,89,205,26,187,20,15248,41,5,2118,969,0.457507,50,42.36,15224,7.18791,425,22,9,13,4,4,3,6,0,0,58,1306,90,18,18,0,0,8,16,22
neutral,96,106,16,2,44,26,39,5,50,23,6,26,25,20,14,733,182,381,338,865,171,206,286,609,10,68,388,235,580,755,202,11,521,639,699,258,87,145,19,154,5,12960,41,5,1738,810,0.466053,33,52.6667,12960,7.45685,427,25,9,12,5,5,4,6,0,0,66,1282,90,26,26,0,0,12,14,22
neutral,95,11,16,98,2,51,20,39,20,6,20,64,17,15,10,960,204,491,403,1106,212,232,330,786,23,87,515,260,781,854,261,14,684,757,831,340,127,167,27,189,7,15473,41,5,2138,954,0.446211,45,47.5111,15473,7.23714,429,25,9,12,5,5,4,6,0,0,66,1288,90,26,26,0,0,12,14,22
neutral,81,16,94,2,43,19,37,35,5,17,6,18,16,13,9,593,146,285,252,708,142,177,225,507,9,69,333,188,441,591,179,9,428,532,529,202,76,121,14,150,5,10749,41,5,1424,711,0.499298,25,56.96,10747,7.54705,431,26,9,12,5,5,4,6,0,0,68,1288,88,28,28,0,0,12,14,22
neutral,135,115,16,2,76,21,41,5,19,22,21,16,9,90,19,989,234,431,443,1265,223,298,551,841,26,97,500,320,767,933,259,16,671,818,893,288,115,221,37,209,6,16877,41,5,2407,1035,0.429996,59,40.7966,16862,7.0054,434,25,9,12,5,5,4,6,0,0,66,1286,88,26,26,0,0,12,14,22
neutral,126,1,11,133,98,69,3,24,28,30,6,27,25,10,16,1531,249,622,505,1863,344,379,679,1202,26,159,725,426,1177,1293,400,13,1026,1214,1469,442,169,254,37,255,16,22341,41,5,3431,1362,0.396969,116,29.5776,22270,6.49082,449,28,11,15,5,5,3,5,1,0,76,1304,94,22,22,2,0,18,12,24
neutral,180,115,168,2,87,67,4,34,5,17,6,38,44,13,10,1600,225,676,669,1723,369,386,421,1252,44,121,749,365,1119,1097,449,44,1176,1126,1305,512,143,266,48,345,10,22762,41,5,3259,1037,0.318196,71,45.9014,22754,6.9819,434,25,7,14,5,5,3,6,0,0,70,1310,90,22,22,0,0,6,14,22
neutral,59,1,79,2,38,14,33,24,18,6,6,11,15,8,9,511,122,249,220,629,142,170,204,463,11,66,305,167,373,512,168,10,381,449,491,167,73,115,8,125,8,9223,41,5,1246,682,0.547352,18,69.2222,9221,7.40048,425,29,10,16,6,6,3,7,1,0,72,1324,90,22,22,2,0,8,16,20
neutral,140,136,17,2,116,22,254,31,68,28,6,38,26,21,16,1410,264,809,584,1900,337,291,694,1102,27,192,640,393,1072,1326,374,27,1121,1173,1420,420,171,256,34,333,7,23188,41,5,3474,1132,0.325849,153,22.7059,23188,6.67473,432,25,9,12,5,5,4,6,0,0,66,1294,86,26,26,0,0,10,14,22
neutral,70,1,89,2,47,17,25,5,17,6,14,63,20,9,9,707,138,382,373,966,174,237,318,653,17,89,419,235,598,733,247,13,569,667,736,263,95,137,12,170,11,12836,41,5,1775,891,0.501972,39,45.5128,12830,7.22817,432,22,10,15,4,4,3,7,0,0,58,1344,94,16,16,0,0,8,16,22
neutral,65,14,69,2,37,15,22,20,6,15,70,10,5,9,4,687,134,396,276,858,160,209,335,578,11,91,351,212,520,696,214,9,545,602,655,216,83,129,22,180,9,12076,41,5,1702,834,0.490012,59,28.8475,12066,7.08931,443,30,12,16,7,7,3,8,0,1,80,1294,98,28,28,0,2,8,18,24
neutral,132,1,118,2,79,26,54,22,6,6,34,17,21,86,14,1026,251,369,411,1386,249,262,442,857,23,112,514,352,684,949,307,24,721,816,894,309,124,208,12,194,10,16189,41,5,2411,982,0.4073,40,60.275,16187,6.71381,437,23,9,12,4,4,4,6,0,0,62,1312,82,18,18,0,0,18,14,22
neutral,120,1,10,165,92,72,80,47,6,6,61,42,53,51,53,661,95,412,378,1314,149,96,174,664,18,76,406,228,660,580,387,81,841,691,679,530,105,74,96,125,12,15750,41,5,2020,962,0.476238,40,50.5,15406,7.62673,368,62,39,12,4,4,5,4,1,0,160,1032,44,10,10,2,0,52,8,112
neutral,100,1,113,2,50,22,34,18,6,16,7,21,74,12,10,865,190,424,392,1236,209,269,347,802,14,85,513,276,678,820,351,16,699,803,858,293,111,152,32,167,9,15474,41,5,2110,918,0.435071,41,51.4634,15472,7.3327,435,24,7,13,5,5,3,6,0,0,68,1312,88,22,22,0,0,6,14,22
neutral,107,109,74,48,4,47,5,40,6,37,17,8,14,92,20,836,199,423,357,1092,221,240,394,833,21,99,542,302,651,800,266,15,593,745,750,254,95,167,21,182,10,14849,41,5,2103,1026,0.487874,61,34.4754,14843,7.05801,464,23,11,11,4,4,3,5,0,0,58,1330,82,18,18,0,0,8,12,24
neutral,107,109,74,48,4,47,5,40,6,37,17,8,14,92,20,836,199,423,357,1092,221,240,394,833,21,99,542,302,651,800,266,15,593,745,750,254,95,167,21,182,10,14849,41,5,2103,1026,0.487874,61,34.4754,14843,7.05801,464,23,11,11,4,4,3,5,0,0,58,1330,82,18,18,0,0,8,12,24
neutral,297,228,2,159,36,96,101,452,50,6,6,59,47,40,13,3219,798,1243,1353,4606,847,623,1901,2589,58,332,1539,923,2512,3469,919,81,2497,2801,3273,1215,530,582,80,784,25,52152,41,5,8296,1242,0.149711,343,24.1866,52082,6.27797,432,25,9,12,5,5,4,6,0,0,64,1298,88,24,24,0,0,12,14,22
neutral,121,109,16,2,60,26,39,21,6,6,25,18,76,16,28,1022,218,419,405,1177,253,249,375,744,17,108,468,315,699,872,292,11,694,801,860,296,132,171,25,213,9,16015,41,5,2277,979,0.429952,47,48.4468,16011,7.03162,429,26,9,12,5,5,4,8,0,0,68,1282,90,26,26,0,0,12,18,22
neutral,206,1,281,172,190,94,87,5,26,6,28,30,47,9,11,2353,367,995,721,3224,686,747,1101,1770,226,152,1125,729,2009,1919,662,20,1930,1596,2028,556,278,425,24,553,37,36289,41,5,5303,1152,0.217236,67,79.1493,36289,6.84311,439,27,14,16,6,6,3,6,1,1,68,1314,104,20,20,2,2,26,16,34
neutral,64,1,86,2,42,14,26,5,18,6,63,9,16,9,8,791,177,393,315,938,185,222,310,698,48,104,451,231,610,727,245,10,527,617,734,271,111,147,14,151,11,13004,41,5,1791,866,0.483529,30,59.7,12994,7.25516,427,24,10,13,5,5,3,6,0,0,66,1352,86,18,18,0,0,6,14,20
neutral,270,1,371,295,334,66,4,205,5,34,6,33,47,21,30,5368,958,1957,2326,6153,1320,1474,2040,4147,80,627,2216,1170,3369,3459,1276,39,3993,2827,3652,1414,434,983,26,781,294,69418,41,5,10843,1392,0.128378,190,57.0684,69410,6.40136,447,29,14,17,6,6,3,7,0,0,78,1316,114,20,20,0,0,32,16,32
neutral,64,1,66,2,36,16,34,4,20,17,6,18,11,5,4,555,136,267,208,696,131,156,244,469,8,83,321,183,407,539,185,9,415,469,529,164,66,103,25,115,6,9842,41,5,1319,689,0.522365,18,73.2778,9838,7.45868,450,28,9,15,4,4,4,10,0,0,78,1304,88,22,22,0,0,22,24,18
neutral,116,110,132,2,48,24,4,46,21,6,17,22,8,13,9,847,262,436,357,1152,237,261,339,810,31,125,464,301,773,908,355,11,763,728,851,335,107,143,38,176,7,15798,41,5,2135,965,0.451991,62,34.4355,15796,7.39859,429,26,7,13,5,5,3,5,0,0,66,1306,88,18,18,0,0,6,12,20
neutral,55,1,69,29,30,15,4,4,23,17,6,7,13,9,8,546,116,242,220,696,146,179,214,479,17,83,321,172,374,504,174,10,367,481,555,147,72,114,7,135,5,9906,41,5,1279,683,0.534011,15,85.2667,9906,7.74511,439,33,13,15,6,6,3,6,0,0,84,1312,98,20,20,0,0,24,18,30
neutral,109,1,181,2,253,70,32,4,139,21,6,58,32,20,80,1749,332,753,807,1892,436,408,710,1279,79,142,781,444,1482,1295,490,12,1249,1045,1244,460,175,219,32,282,48,25155,41,5,3570,1246,0.34902,139,25.6835,25129,7.03894,436,26,7,13,5,5,3,6,0,0,72,1310,88,22,22,0,0,6,14,22
neutral,109,1,181,2,253,70,32,4,139,21,6,58,32,20,80,1749,332,753,807,1892,436,408,710,1279,79,142,781,444,1482,1295,490,12,1249,1045,1244,460,175,219,32,282,48,25155,41,5,3570,1246,0.34902,139,25.6835,25129,7.03894,436,26,7,13,5,5,3,6,0,0,72,1310,88,22,22,0,0,6,14,22
neutral,113,1,140,98,2,59,19,4,33,19,6,16,16,14,12,991,155,440,282,858,181,298,376,609,15,195,471,402,592,834,309,16,537,574,1036,323,76,139,12,145,11,14195,41,5,1744,867,0.497133,26,67.0769,14188,8.13532,438,27,8,12,4,4,4,6,0,0,70,1304,84,20,20,0,0,20,14,20
neutral,105,105,98,2,22,47,20,37,5,18,6,17,18,14,9,1117,269,509,515,1299,287,267,431,844,16,123,600,361,765,971,293,19,707,898,907,369,116,199,25,235,10,17534,41,5,2521,1150,0.456168,90,28.0111,17534,6.95518,433,27,9,12,5,5,4,6,0,0,70,1282,90,26,26,0,0,12,14,22
neutral,96,1,12,94,43,18,37,25,6,15,7,19,74,11,6,951,194,414,423,1306,238,274,464,850,10,153,557,255,708,899,280,14,727,848,1000,351,118,186,28,277,10,16982,41,5,2416,1034,0.42798,53,45.5849,16815,6.95985,430,23,9,13,4,4,3,5,0,0,60,1318,94,18,18,0,0,8,14,22
neutral,66,1,77,2,48,19,34,21,6,11,69,13,8,11,8,889,183,395,370,1146,190,258,397,799,21,98,485,258,701,799,296,14,583,764,834,310,122,158,25,189,12,14591,41,5,2106,988,0.469136,37,56.9189,14589,6.92735,473,28,11,12,5,5,3,6,0,0,68,1322,80,20,20,0,0,8,14,24
neutral,276,1,209,130,371,72,88,49,6,6,51,48,8,31,6,2868,684,1047,1187,4138,732,631,1720,2269,40,337,1468,778,2201,3066,884,62,2197,2462,2965,1003,451,517,57,674,37,46646,41,5,7390,1112,0.150474,285,25.9298,46568,6.30149,431,23,9,14,4,4,3,5,0,0,60,1318,96,18,18,0,0,8,14,22
neutral,61,1,79,2,37,15,24,45,5,17,6,9,16,10,6,526,122,280,225,662,145,171,216,504,15,72,309,166,388,528,181,10,389,457,508,171,72,116,9,125,10,9514,41,5,1290,702,0.544186,20,64.5,9514,7.37519,435,28,9,12,5,5,3,6,0,0,78,1338,84,18,18,0,0,14,14,18
neutral,108,117,165,2,55,31,4,50,28,6,6,23,29,18,12,1244,279,600,522,1476,316,275,528,1026,66,107,586,375,945,1068,391,16,902,907,1099,416,133,199,27,202,14,19517,41,5,2739,1132,0.41329,84,32.6071,19491,7.1161,430,26,7,13,5,5,3,5,0,0,66,1320,86,18,18,0,0,6,12,20
neutral,99,16,98,2,43,18,36,5,17,55,6,17,17,14,11,769,179,365,328,946,188,223,317,690,14,84,429,236,563,708,265,11,559,682,709,284,103,156,27,174,45,13636,41,5,1878,884,0.470714,39,48.1538,13632,7.25879,435,27,9,12,5,5,4,6,0,0,68,1296,86,26,26,0,0,12,14,22
neutral,282,1,215,2,186,89,392,87,5,88,6,77,70,52,42,2286,447,882,1038,2927,619,522,1203,1958,71,229,1114,661,1880,2054,579,27,1639,1858,1985,572,228,519,35,410,25,35168,41,5,5566,1736,0.311894,274,20.3139,35151,6.31531,440,28,7,12,5,5,4,8,0,0,74,1308,80,20,20,0,0,18,18,18
neutral,282,1,215,2,186,88,392,88,5,88,6,77,70,52,42,2286,447,882,1038,2927,619,522,1203,1958,71,229,1114,661,1880,2054,579,27,1639,1858,1985,572,228,519,35,410,25,35168,41,5,5566,1736,0.311894,274,20.3139,35151,6.31531,440,28,7,12,5,5,4,8,0,0,74,1308,80,20,20,0,0,18,18,18
neutral,116,1,109,102,2,66,32,35,5,13,6,13,18,20,20,1223,217,553,498,1524,296,285,527,1027,39,99,659,418,886,1021,512,18,822,1066,1063,370,120,200,37,217,17,19467,41,5,2797,1142,0.408295,62,45.1129,19453,6.95495,431,27,10,14,6,6,3,7,0,0,80,1328,90,24,24,0,0,8,16,22
neutral,62,1,76,2,41,14,37,23,19,6,6,9,15,9,7,514,121,263,231,643,141,170,210,481,12,71,319,160,380,533,171,10,389,470,514,180,80,110,8,128,11,9437,41,5,1278,700,0.547731,20,63.9,9437,7.38419,424,34,7,13,5,5,3,7,1,0,84,1320,88,20,20,2,0,16,16,14
neutral,86,1,84,44,21,4,42,25,15,6,6,10,16,11,6,580,120,262,254,692,140,148,249,490,14,67,296,193,394,520,179,10,426,501,534,189,68,107,13,113,9,9658,41,5,1359,712,0.523915,21,64.7143,9658,7.1067,429,29,8,13,5,5,3,6,0,0,76,1312,88,20,20,0,0,12,14,20
neutral,144,112,125,17,2,85,29,41,24,6,6,23,21,18,13,1388,225,543,541,1592,242,303,589,1144,30,128,525,408,1070,1012,496,17,985,1023,1140,365,132,209,31,252,18,20339,41,5,2889,1178,0.407754,65,44.4462,20337,7.03946,431,28,8,12,6,6,4,6,0,0,72,1284,86,26,26,0,0,12,14,20
neutral,0,177,1,267,115,239,37,4,84,52,34,101,32,26,20,1785,374,737,634,1892,431,504,720,1213,32,141,851,595,1333,1327,492,20,1147,1200,1640,533,200,363,26,335,30,25940,40,4,3020,1444,0.478146,81,37.284,25938,8.58874,446,48,19,16,9,9,6,7,0,0,132,1280,100,48,48,0,0,36,28,44
neutral,0,27,1,1,27,19,31,15,14,5,13,7,7,7,2,779,177,376,298,877,179,213,260,660,35,99,388,243,594,674,231,18,559,636,666,248,110,142,21,162,11,14181,40,4,1666,883,0.530012,19,87.6842,14178,8.5102,497,27,4,12,6,6,5,4,0,0,86,1472,86,32,32,0,0,10,20,10
neutral,0,74,1,1,10,119,90,75,30,41,20,16,16,18,10,1064,211,504,491,1390,248,307,475,1021,33,98,512,333,881,979,319,15,792,898,1154,360,158,190,19,220,20,18147,40,4,2588,1085,0.419243,67,38.6269,18146,7.01159,445,47,23,14,9,9,4,8,1,0,136,1238,116,46,46,2,0,28,28,48
neutral,0,74,1,1,10,119,90,75,30,41,20,16,16,18,10,1064,211,504,491,1390,248,307,475,1021,33,98,512,333,881,979,319,15,792,898,1154,360,158,190,19,220,20,18147,40,4,2588,1085,0.419243,67,38.6269,18146,7.01159,445,47,23,14,9,9,4,8,1,0,136,1238,116,46,46,2,0,28,28,48
neutral,232,112,214,2,140,3,79,57,20,23,7,7,35,22,23,1135,218,606,457,1307,265,281,366,820,15,94,512,235,708,1012,306,17,738,905,1039,381,114,184,93,157,14,18146,41,5,2598,948,0.364896,42,61.8571,18144,6.98383,436,27,6,13,6,6,3,7,0,0,76,1306,86,22,22,0,0,6,16,20
neutral,0,169,1,275,123,275,35,4,91,41,56,95,41,42,13,1514,436,845,537,1665,443,413,719,1369,31,152,769,626,1245,1359,496,17,1072,1186,1514,638,261,350,36,247,20,25007,40,4,2674,1400,0.52356,86,31.093,25007,9.35191,453,48,24,16,11,11,4,11,0,0,146,1278,78,60,60,0,0,26,36,50
neutral,0,0,24,1,27,20,10,38,4,12,10,6,7,8,2,477,113,234,214,599,135,148,194,443,19,72,276,155,358,484,159,12,351,428,456,169,73,90,11,113,8,8086,39,3,1141,668,0.585451,25,45.64,8083,7.08414,460,41,12,20,8,8,6,13,0,0,126,1282,118,50,50,0,0,32,40,30
neutral,0,0,24,1,27,20,10,38,4,12,10,6,7,8,2,477,113,234,214,599,135,148,194,443,19,72,276,155,358,484,159,12,351,428,456,169,73,90,11,113,8,8086,39,3,1141,668,0.585451,25,45.64,8083,7.08414,460,41,12,20,8,8,6,13,0,0,126,1282,118,50,50,0,0,32,40,30
